Phase,Tx,Rx,PDR_pct,AvgDelayMs,ThroughputKbps,NodesDetectingAtk1,NodesDetectingAtk2,NodesDetectingAny,NodesDetectingBoth,NodesWithFalsePositives,TotalFalsePositives,Atk1FlaggedSomewhere,Atk2FlaggedSomewhere,BackupWronglyFlagged
baseline,3893,3890,99.92,18.60,420.12,0,0,0,0,0,0,0,0,0
attack_only,3883,2581,66.47,15.70,278.75,0,0,0,0,0,0,0,0,0
defense_only,3910,3910,100.00,17.21,422.28,0,0,0,0,0,0,0,0,0
defense_vs_attack,3880,3879,99.97,19.19,418.93,3,3,4,2,0,0,1,1,0
baseline_late,3892,3892,100.00,17.06,420.34,0,0,0,0,0,0,0,0,0
