Phase,Tx,Rx,PDR_pct,AvgDelayMs,ThroughputKbps,NodesDetectingAtk1,NodesDetectingAtk2,NodesDetectingAny,NodesDetectingBoth,NodesWithFalsePositives,TotalFalsePositives,Atk1FlaggedSomewhere,Atk2FlaggedSomewhere,BackupWronglyFlagged
baseline,3874,3871,99.92,18.83,418.07,0,0,0,0,0,0,0,0,0
attack_only,3900,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0
defense_only,3910,3910,100.00,18.13,422.28,0,0,0,0,0,0,0,0,0
defense_vs_attack,3900,3902,100.05,19.34,421.42,9,4,10,3,0,0,1,1,0
baseline_late,3910,3910,100.00,17.45,422.28,0,0,0,0,0,0,0,0,0
