Phase,Tx,Rx,PDR_pct,AvgDelayMs,ThroughputKbps,NodesDetectingAtk1,NodesDetectingAtk2,NodesDetectingAny,NodesDetectingBoth,NodesWithFalsePositives,TotalFalsePositives,Atk1FlaggedSomewhere,Atk2FlaggedSomewhere,BackupWronglyFlagged
baseline,3910,3127,79.97,15.26,337.72,0,0,0,0,0,0,0,0,0
attack_only,3880,2,0.05,23.47,0.22,0,0,0,0,0,0,0,0,0
defense_only,3872,3872,100.00,18.22,418.18,0,0,0,0,0,0,0,0,0
defense_vs_attack,3883,3886,100.08,19.21,419.69,10,10,10,10,0,0,1,1,0
baseline_late,3877,3877,100.00,18.46,418.72,0,0,0,0,0,0,0,0,0
