Phase,Tx,Rx,PDR_pct,AvgDelayMs,ThroughputKbps,NodesDetectingAtk1,NodesDetectingAtk2,NodesDetectingAny,NodesDetectingBoth,NodesWithFalsePositives,TotalFalsePositives,Atk1FlaggedSomewhere,Atk2FlaggedSomewhere,BackupWronglyFlagged
baseline,3894,3882,99.69,18.54,419.26,0,0,0,0,0,0,0,0,0
attack_only,3867,2345,60.64,14.85,253.26,0,0,0,0,0,0,0,0,0
defense_only,3852,3840,99.69,19.94,414.72,0,0,0,0,0,0,0,0,0
defense_vs_attack,3862,3864,100.05,19.38,417.31,3,4,4,3,0,0,1,1,0
baseline_late,3841,3841,100.00,17.17,414.83,0,0,0,0,0,0,0,0,0
