seed,run_id,mobility,status,rejection_reason,rejected_at_s,probe_captured,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
1572,1572,0,rejected,assert_connectivity,60.000000,1,7.040000,3.117435,0.000000,14.000000,9.720000,4.074506,47.040000,6.720000,0,0,63.420885
1565,1565,0,accepted,none,0.000000,1,5.200000,1.969772,1.000000,10.000000,6.000000,2.457641,49.000000,0.000000,50,0,69.972987
1573,1573,0,rejected,too_close,60.000000,1,6.600000,2.465766,2.000000,12.000000,8.760000,4.216918,49.000000,0.000000,50,1,58.349048
1574,1574,0,rejected,assert_connectivity,60.000000,1,6.320000,2.760000,1.000000,12.000000,7.600000,4.284857,41.640000,11.394314,0,0,67.002569
1567,1567,0,accepted,none,0.000000,1,5.480000,2.146998,1.000000,10.000000,6.040000,2.897999,49.000000,0.000000,50,0,71.084288
1575,1575,0,rejected,too_close,60.000000,1,5.680000,1.984339,2.000000,10.000000,7.160000,2.989047,49.000000,0.000000,50,1,64.886582
1577,1577,0,rejected,assert_connectivity,60.000000,1,6.040000,2.153695,0.000000,10.000000,7.720000,4.108722,47.040000,6.720000,0,0,70.033003
1576,1576,0,rejected,too_close,60.000000,1,6.120000,2.511095,1.000000,11.000000,7.720000,3.334906,49.000000,0.000000,50,0,64.053215
1579,1579,0,rejected,assert_connectivity,60.000000,1,5.640000,2.321723,1.000000,10.000000,6.040000,3.292173,45.160000,9.014122,0,0,57.767810
1581,1581,0,rejected,assert_connectivity,60.000000,1,5.880000,2.861049,0.000000,12.000000,7.360000,3.948468,43.280000,10.766689,0,1,62.191863
1568,1568,0,accepted,none,0.000000,1,5.840000,1.815048,2.000000,10.000000,6.640000,2.798285,49.000000,0.000000,50,0,69.423004
1582,1582,0,rejected,assert_connectivity,60.000000,1,5.840000,2.830972,0.000000,12.000000,7.440000,3.914895,41.520000,11.803796,0,0,66.290843
1584,1584,0,rejected,assert_connectivity,60.000000,1,5.480000,2.758550,0.000000,12.000000,7.800000,4.409082,41.440000,12.073376,0,0,62.279788
1585,1585,0,rejected,too_close,60.000000,1,5.240000,2.371160,1.000000,10.000000,7.520000,3.539718,49.000000,0.000000,50,1,71.399331
1587,1587,0,rejected,too_close,60.000000,1,5.960000,2.135041,1.000000,10.000000,7.360000,3.814499,49.000000,0.000000,50,0,71.112216
1571,1571,0,accepted,none,0.000000,1,6.240000,2.818226,1.000000,12.000000,8.320000,3.478160,49.000000,0.000000,50,0,73.518860
