run_id,scenario,window_start,window_end,throughput_mbps,pdr_percent,avg_delay_s,tx_packets,rx_packets,rx_bytes,udp_rx_in_window,udp_expected_in_window,udp_loss_percent,overhead_ratio,hello_count,olsr_control_bytes_with_hello,path_hops_internal,min_attacker_trust,avg_attacker_trust,blacklist_max_size,mac_tx_in_window,mac_drop_in_window,mac_tx_total,mac_drop_total
35,baseline,120.000000,160.000000,0.001944,100.000000,0.020714,18,18,9720,18,18,0.000000,25.944033,1000,252176,4,1.000000,1.000000,0,1677,0,6295,0
35,attack_only,220.000000,260.000000,0.001944,100.000000,0.007793,18,18,9720,18,18,0.000000,26.479424,1000,257380,4,1.000000,1.000000,0,1699,0,10422,0
35,defense_only,320.000000,360.000000,0.001944,100.000000,0.017386,18,18,9720,18,18,0.000000,84.001235,1000,816492,4,1.000000,1.000000,0,2351,0,16109,0
35,defense_vs_attack,420.000000,460.000000,0.001944,100.000000,0.010553,18,18,9720,18,18,0.000000,84.487654,1000,821220,4,0.000000,0.877551,1,2455,0,22020,0
42,baseline,120.000000,160.000000,0.001944,100.000000,0.026534,18,18,9720,18,18,0.000000,32.883128,1000,319624,5,1.000000,1.000000,0,1880,0,6965,0
42,attack_only,220.000000,260.000000,0.001944,100.000000,0.010561,18,18,9720,18,18,0.000000,32.547737,1000,316364,5,1.000000,1.000000,0,1828,0,11434,0
42,defense_only,320.000000,360.000000,0.001944,100.000000,0.022095,18,18,9720,18,18,0.000000,101.284774,1000,984488,5,1.000000,1.000000,0,2716,0,17836,0
42,defense_vs_attack,420.000000,460.000000,0.001944,100.000000,0.012102,18,18,9720,18,18,0.000000,100.550617,1000,977352,5,0.000000,0.897959,1,2680,0,24310,0
43,baseline,120.000000,160.000000,0.001944,100.000000,0.021063,18,18,9720,18,18,0.000000,24.920165,1000,242224,4,1.000000,1.000000,0,1657,0,6236,0
43,attack_only,220.000000,260.000000,0.000000,0.000000,0.000000,18,0,0,0,18,100.000000,0.000000,1000,249824,5,1.000000,1.000000,0,1604,0,10190,0
43,defense_only,320.000000,360.000000,0.001944,100.000000,0.010213,18,18,9720,18,18,0.000000,84.215226,1000,818572,4,1.000000,1.000000,0,2455,0,16247,0
