2026-06-02T13:22:55Z	1	2
2026-06-02T13:23:04Z	5	2
2026-06-02T13:23:04Z	3	2
2026-06-02T13:23:04Z	6	2
2026-06-02T13:23:05Z	4	2
2026-06-02T13:23:13Z	10	2
2026-06-02T13:23:14Z	11	2
2026-06-02T13:23:14Z	13	2
2026-06-02T13:23:20Z	14	2
2026-06-02T13:23:22Z	15	2
2026-06-02T13:23:23Z	16	2
2026-06-02T13:23:29Z	17	2
2026-06-02T13:23:31Z	19	2
2026-06-02T13:23:36Z	20	2
2026-06-02T13:23:40Z	21	2
2026-06-02T13:23:43Z	22	2
2026-06-02T13:23:47Z	9	0
2026-06-02T13:23:48Z	8	0
2026-06-02T13:23:49Z	23	2
2026-06-02T13:23:52Z	2	0
2026-06-02T13:23:56Z	25	2
2026-06-02T13:23:56Z	26	2
2026-06-02T13:23:58Z	27	2
2026-06-02T13:24:01Z	12	0
2026-06-02T13:24:03Z	7	0
2026-06-02T13:24:05Z	29	2
2026-06-02T13:24:05Z	30	2
2026-06-02T13:24:10Z	32	2
2026-06-02T13:24:12Z	33	2
2026-06-02T13:24:13Z	34	2
2026-06-02T13:24:18Z	36	2
2026-06-02T13:24:20Z	37	2
2026-06-02T13:24:21Z	38	2
2026-06-02T13:24:24Z	18	0
2026-06-02T13:24:27Z	39	2
2026-06-02T13:24:29Z	40	2
2026-06-02T13:24:31Z	41	2
2026-06-02T13:24:38Z	44	2
2026-06-02T13:24:42Z	24	0
2026-06-02T13:24:43Z	28	0
2026-06-02T13:24:46Z	46	2
2026-06-02T13:24:51Z	48	2
2026-06-02T13:24:56Z	35	0
2026-06-02T13:24:59Z	31	0
2026-06-02T13:24:59Z	50	2
2026-06-02T13:25:04Z	51	2
2026-06-02T13:25:06Z	52	2
2026-06-02T13:25:07Z	53	2
2026-06-02T13:25:12Z	54	2
2026-06-02T13:25:14Z	55	2
2026-06-02T13:25:14Z	43	0
2026-06-02T13:25:17Z	45	0
2026-06-02T13:25:21Z	57	2
2026-06-02T13:25:22Z	59	2
2026-06-02T13:25:23Z	58	2
2026-06-02T13:25:25Z	60	2
2026-06-02T13:25:27Z	42	0
2026-06-02T13:25:30Z	61	2
2026-06-02T13:25:42Z	47	0
2026-06-02T13:25:46Z	49	0
2026-06-02T13:25:54Z	68	2
2026-06-02T13:25:57Z	56	0
2026-06-02T13:26:03Z	69	2
2026-06-02T13:26:06Z	70	2
2026-06-02T13:26:11Z	71	2
2026-06-02T13:26:13Z	72	2
2026-06-02T13:26:15Z	64	0
2026-06-02T13:26:16Z	66	0
2026-06-02T13:26:20Z	65	0
2026-06-02T13:26:21Z	62	0
2026-06-02T13:26:21Z	63	0
2026-06-02T13:26:23Z	74	2
2026-06-02T13:26:26Z	76	2
