seed,run_id,mobility,status,rejection_reason,rejected_at_s,probe_captured,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
268,268,0,accepted,none,0.000000,1,6.000000,2.218107,1.000000,10.000000,8.440000,3.858290,49.000000,0.000000,50,0,61.968883
277,277,0,rejected,assert_connectivity,60.000000,1,6.040000,2.391318,0.000000,10.000000,7.640000,4.165381,47.040000,6.720000,0,0,69.861449
276,276,0,rejected,assert_connectivity,60.000000,1,6.720000,3.328904,0.000000,12.000000,8.040000,4.395270,47.040000,6.720000,0,0,68.911541
278,278,0,rejected,too_close,60.000000,1,6.480000,2.655108,2.000000,14.000000,8.200000,4.029888,49.000000,0.000000,50,0,58.244959
280,280,0,rejected,assert_connectivity,60.000000,1,7.360000,3.290957,0.000000,16.000000,9.320000,5.209376,45.120000,9.210081,0,0,61.924918
281,281,0,rejected,assert_connectivity,60.000000,1,6.600000,3.676955,0.000000,13.000000,7.960000,4.668876,47.040000,6.720000,0,0,67.959150
282,282,0,rejected,too_close,60.000000,1,5.880000,2.259557,2.000000,11.000000,8.080000,2.883331,49.000000,0.000000,50,0,63.950105
284,284,0,rejected,assert_connectivity,60.000000,1,6.000000,3.039737,1.000000,13.000000,6.120000,4.343455,29.960000,12.612629,0,0,57.409298
272,272,0,accepted,none,0.000000,1,5.640000,2.733203,1.000000,12.000000,7.560000,4.152879,49.000000,0.000000,50,0,61.537199
271,271,0,accepted,none,0.000000,1,5.440000,2.417933,1.000000,12.000000,7.040000,3.826016,49.000000,0.000000,50,0,78.156943
273,273,0,accepted,none,0.000000,1,6.120000,2.346402,2.000000,10.000000,7.400000,3.352611,49.000000,0.000000,50,0,69.193893
288,288,0,rejected,assert_connectivity,60.000000,1,6.040000,3.091666,0.000000,12.000000,6.480000,3.822251,38.240000,12.900481,0,0,61.646543
