run_id,scenario,window_start,window_end,window_duration_s,TcPacketRate,MidPacketRate,HnaPacketRate,TcBytesPerSecond,MidBytesPerSecond,HnaBytesPerSecond,DataPacketRate,DataBytesPerSecond,PerNodeTcRateStd,PerNodeTcBytesStd,PerNodeTcBytesGini,TcMessageSizeMean,TcMessageSizeStd,TcMessageSizeP95,TcMessageSizeMax,AdvertisedLinksPerTcMean,AdvertisedLinksPerTcStd,AdvertisedLinksPerTcP95,AdvertisedLinksPerTcMax,TcAnsnIncrementMean,TcAnsnSkipCount,NumDistinctTcSenderNodesPerWindow,TcMessageContentEntropy,TcVtimeMean,TcVtimeStd,NumDistinctAddressesInTcAdvertisements,NumDistinctTcSenderAddresses,NumPhantomAddresses,NumAsymmetricAdvertisements,NumEphemeralAddresses,MprSelectorCountPerTcMean,MprSelectorCountPerTcStd,NumberOfMprChurnEvents,NumDistinctMprSetsObserved,ObservedHopCountMean,ObservedHopCountStd,ObservedHopCountMax,NumPathChangesPerFlow,NumDistinctNextHopsPerSource,RtsRateLocal,CtsRateLocal,AckRateLocal,Layer2RetransmissionRate,ChannelBusyTimeFraction,AckDelayMean,AckDelayStd,InterFrameSpacingMean,PacketsDeliveredCount,PacketsSentCount,EndToEndLatencyMean,EndToEndLatencyStd,JitterMean,ThroughputBitsPerSecond,TcInterArrivalMean,TcInterArrivalStd,TcInterArrivalP95,TcBurstinessHurst,ControlMessageInterArrivalSkew,ControlMessageInterArrivalKurtosis,TcSenderAddressEntropy,TcAdvertisedAddressEntropy,PacketSizeDistributionSkew,PacketSizeDistributionKurtosis,TcPayloadByteDistributionEntropy,AdvertisedAverageDegree,AdvertisedDegreeStd,AdvertisedDegreeSkew,AdvertisedDegreeKurtosis,NumberOfDegreeOneNodes,AdvertisedClusteringCoefficient,NumberOfTrianglesInAdvertisedGraph,AdvertisedConnectivityComponents,AdvertisedDiameter,AdvertisedRadius,AdvertisedGraphDensity,BetweennessCentralityMean,BetweennessCentralityStd,BetweennessCentralityMax,ClosenessCentralityMean,ClosenessCentralityStd,EdgePersistenceMean,EdgeEmergenceWithinWindowRate,EdgeChurnWithinWindowRate,NumberOfHexagonalCycles,NumberOfShortCycles,AdvertisedSpectralRadius
172,defense_only,320.000000,360.000000,40.000000,147.250000,0.000000,0.000000,4862.500000,0.000000,0.000000,0.450000,243.000000,0.200853,42.092406,0.155460,33.022071,10.229349,56.000000,64.000000,4.255518,2.557337,10.000000,12.000000,0.000000,0,35,5.127628,15.000000,0.000000,50,35,14,80,0,4.255518,2.557337,0,35,4.000000,0.000000,4.000000,0.000000,1.000000,1.875000,1.800000,1.800000,0.000000,0.007107,0.000622,0.000000,0.037465,18,18,0.013670,0.004946,0.001629,1944.000000,0.215689,0.786348,0.273039,0.222073,28.651891,832.951295,5.127628,5.527568,14.975254,250.904121,5.527568,4.600000,2.357965,0.840256,0.912272,4,0.289447,46,1,8,5,0.093878,58.360000,62.093082,277.136136,0.305702,0.054457,36.172781,0.000000,0.000000,956,549,6.294163
172,defense_vs_attack,420.000000,460.000000,40.000000,136.450000,0.000000,0.000000,4526.800000,0.000000,0.000000,0.450000,243.000000,0.241420,50.336457,0.185847,33.175522,12.580396,64.000000,80.000000,4.293881,3.145099,12.000000,16.000000,0.258160,7,35,5.126470,15.000000,0.000000,50,35,14,84,0,4.293881,3.145099,0,35,4.000000,0.000000,4.000000,0.000000,1.000000,1.800000,1.800000,1.800000,0.000000,0.003912,0.000621,0.000000,0.038607,18,18,0.008687,0.002514,0.000811,1944.000000,0.231602,0.801223,0.339217,0.228593,27.585235,777.410824,5.126470,5.528862,13.512393,211.498869,5.528862,4.680000,2.774455,1.838419,4.882735,4,0.328833,57,1,8,4,0.095510,52.740000,79.684677,442.314972,0.328918,0.060547,35.952140,0.000000,0.000000,1142,666,6.718783
177,baseline,120.000000,160.000000,40.000000,78.475000,0.000000,0.000000,2673.600000,0.000000,0.000000,0.450000,243.000000,0.144814,33.205930,0.162214,34.069449,9.723755,52.000000,52.000000,4.517362,2.430939,9.000000,9.000000,0.000000,0,23,4.522228,15.000000,0.000000,50,23,26,60,0,4.517362,2.430939,0,23,5.000000,0.000000,5.000000,0.000000,1.000000,2.450000,2.400000,2.375000,0.000000,0.010250,0.000714,0.000000,0.044110,18,18,0.022043,0.010068,0.003043,1944.000000,0.267105,0.812655,2.727443,0.232131,20.551553,436.090704,4.522228,5.517035,11.942056,149.944114,5.517035,3.280000,2.218468,1.040802,0.201663,11,0.271460,23,1,10,5,0.066939,73.280000,108.812936,506.159564,0.262043,0.053230,36.213644,0.000000,0.000000,94,108,4.856677
177,attack_only,220.000000,260.000000,40.000000,83.925000,0.000000,0.000000,2877.700000,0.000000,0.000000,0.450000,243.000000,0.146008,36.667168,0.171886,34.288948,10.462691,52.000000,52.000000,4.572237,2.615673,9.000000,9.000000,0.420042,7,24,4.583699,15.000000,0.000000,50,24,25,64,0,4.572237,2.615673,0,24,5.000000,0.000000,5.000000,0.000000,1.000000,2.250000,2.250000,2.250000,0.000000,0.003711,0.000621,0.000000,0.043899,18,18,0.009087,0.002480,0.001181,1944.000000,0.262085,0.823801,2.421452,0.236844,21.364966,471.808731,4.583699,5.489040,12.090326,155.975490,5.489040,3.480000,2.410311,1.074316,0.279031,11,0.269079,32,1,10,5,0.071020,70.780000,104.536082,466.280830,0.269611,0.056408,36.427529,0.000000,0.000000,212,221,5.562142
177,defense_only,320.000000,360.000000,40.000000,77.275000,0.000000,0.000000,2630.900000,0.000000,0.000000,0.450000,243.000000,0.268322,34.102114,0.167934,34.045940,9.830749,52.000000,52.000000,4.511485,2.457687,9.000000,9.000000,0.000000,0,23,4.518703,15.000000,0.000000,50,23,26,60,0,4.511485,2.457687,0,23,5.000000,0.000000,5.000000,0.000000,1.000000,2.325000,2.250000,2.250000,0.000000,0.009120,0.000621,0.000000,0.045041,18,18,0.018596,0.007301,0.002442,1944.000000,0.274197,0.828238,3.132430,0.249860,20.451280,426.315995,4.518703,5.513361,11.842155,147.473186,5.513361,3.280000,2.218468,1.040802,0.201663,11,0.271460,23,1,10,5,0.066939,73.280000,108.812936,506.159564,0.262043,0.053230,36.590823,0.000000,0.000000,94,108,4.856677
177,defense_vs_attack,420.000000,460.000000,40.000000,83.925000,0.000000,0.000000,2876.000000,0.000000,0.000000,0.450000,243.000000,0.195431,36.835215,0.172271,34.268692,10.475522,52.000000,52.000000,4.567173,2.618881,9.000000,9.000000,0.420042,7,24,4.582647,15.000000,0.000000,50,24,25,64,0,4.567173,2.618881,0,24,5.000000,0.000000,5.000000,0.000000,1.000000,2.300000,2.250000,2.250000,0.000000,0.004721,0.000621,0.000000,0.043647,18,18,0.010738,0.003239,0.000772,1944.000000,0.260102,0.809053,1.881524,0.244628,21.786985,513.259091,4.582647,5.484795,12.087291,155.919409,5.484795,3.480000,2.410311,1.074316,0.279031,11,0.269079,32,1,10,5,0.071020,70.780000,104.536082,466.280830,0.269611,0.056408,36.089774,0.000000,0.000000,212,221,5.562142
174,baseline,120.000000,160.000000,40.000000,145.475000,0.000000,0.000000,4412.200000,0.000000,0.000000,0.450000,243.000000,0.356288,29.721326,0.133624,30.329610,7.072013,44.000000,48.000000,3.582402,1.768003,7.000000,8.000000,0.000000,0,35,5.123913,15.000000,0.000000,50,35,15,52,0,3.582402,1.768003,0,35,3.000000,0.000000,3.000000,0.000000,1.000000,1.425000,1.425000,1.425000,0.000000,0.006095,0.000715,0.000000,0.037963,18,18,0.011322,0.004766,0.001455,1944.000000,0.220168,0.756536,0.371828,0.228248,28.318214,827.700582,5.123913,5.505856,16.367931,282.524195,5.505856,3.560000,1.834775,0.545420,-0.266195,7,0.162190,17,1,9,5,0.072653,66.220000,64.723820,279.613547,0.279988,0.051317,36.493114,0.000000,0.000000,175,131,4.998805
174,attack_only,220.000000,260.000000,40.000000,143.500000,0.000000,0.000000,4430.400000,0.000000,0.000000,0.450000,243.000000,0.337956,42.154115,0.161616,30.873868,10.517620,44.000000,80.000000,3.718467,2.629405,7.000000,16.000000,0.246100,8,35,5.124224,15.000000,0.000000,50,35,15,59,0,3.718467,2.629405,0,35,3.000000,0.000000,3.000000,0.000000,1.000000,1.525000,1.350000,1.350000,0.000000,0.002457,0.000622,0.000000,0.039524,18,18,0.005484,0.002412,0.001812,1944.000000,0.223035,0.754537,0.351073,0.244492,28.174447,826.515734,5.124224,5.494800,14.785456,243.278928,5.494800,3.800000,2.497999,2.321858,8.985700,7,0.218786,29,1,8,4,0.077551,60.640000,83.325865,516.757592,0.300270,0.060253,36.382609,0.000000,0.000000,427,291,6.028081
174,defense_only,320.000000,360.000000,40.000000,144.800000,0.000000,0.000000,4393.900000,0.000000,0.000000,0.450000,243.000000,0.298351,29.371222,0.132082,30.344613,7.065403,44.000000,48.000000,3.586153,1.766351,7.000000,8.000000,0.000000,0,35,5.125549,15.000000,0.000000,50,35,15,52,0,3.586153,1.766351,0,35,3.000000,0.000000,3.000000,0.000000,1.000000,1.350000,1.350000,1.350000,0.000000,0.005412,0.000622,0.000000,0.037620,18,18,0.009650,0.003793,0.001197,1944.000000,0.220337,0.768893,0.366019,0.215315,28.113233,807.851841,5.125549,5.509936,16.338807,281.410006,5.509936,3.560000,1.834775,0.545420,-0.266195,7,0.162190,17,1,9,5,0.072653,66.220000,64.723820,279.613547,0.279988,0.051317,36.299642,0.000000,0.000000,175,131,4.998805
174,defense_vs_attack,420.000000,460.000000,40.000000,144.850000,0.000000,0.000000,4469.400000,0.000000,0.000000,0.450000,243.000000,0.181791,41.928221,0.157241,30.855368,10.542686,44.000000,80.000000,3.713842,2.635671,7.000000,16.000000,0.243445,8,35,5.127907,15.000000,0.000000,50,35,15,59,0,3.713842,2.635671,0,35,3.000000,0.000000,3.000000,0.000000,1.000000,1.350000,1.350000,1.350000,0.000000,0.002806,0.000622,0.000000,0.040337,18,18,0.005594,0.001505,0.000227,1944.000000,0.219605,0.748866,0.318645,0.224934,28.492135,837.550061,5.127907,5.498834,14.818997,244.764488,5.498834,3.800000,2.497999,2.321858,8.985700,7,0.218786,29,1,8,4,0.077551,60.640000,83.325865,516.757592,0.300270,0.060253,36.099885,0.000000,0.000000,427,291,6.028081
