2026-06-04T18:18:48Z	100000001	2
2026-06-04T18:18:53Z	100000002	2
2026-06-04T18:18:58Z	100000003	2
2026-06-04T18:19:39Z	100000004	0
2026-06-04T18:19:43Z	100000005	2
2026-06-04T18:19:47Z	100000006	2
2026-06-04T18:19:50Z	100000007	2
2026-06-04T18:19:54Z	100000008	2
2026-06-04T18:19:58Z	100000009	2
2026-06-04T18:20:42Z	100000010	0
2026-06-04T18:20:45Z	100000011	2
2026-06-04T18:20:48Z	100000012	2
2026-06-04T18:20:52Z	100000013	2
2026-06-04T18:20:56Z	100000014	2
2026-06-04T18:21:00Z	100000015	2
2026-06-04T18:21:04Z	100000016	2
2026-06-04T18:21:07Z	100000017	2
2026-06-04T18:21:56Z	100000018	0
2026-06-04T18:22:43Z	100000019	0
2026-06-04T18:23:14Z	100000020	0
2026-06-04T18:23:48Z	100000021	0
2026-06-04T18:23:52Z	100000022	2
2026-06-04T18:24:26Z	100000023	0
2026-06-04T18:24:29Z	100000024	2
2026-06-04T18:24:33Z	100000025	2
2026-06-04T18:25:03Z	100000026	0
2026-06-04T18:25:06Z	100000027	2
2026-06-04T18:25:08Z	100000028	2
2026-06-04T18:25:11Z	100000029	2
2026-06-04T18:25:15Z	100000030	2
2026-06-04T18:25:18Z	100000031	2
2026-06-04T18:25:21Z	100000032	2
2026-06-04T18:25:24Z	100000033	2
2026-06-04T18:25:28Z	100000034	2
2026-06-04T18:25:31Z	100000035	2
2026-06-04T18:26:05Z	100000036	0
2026-06-04T18:26:44Z	100000037	0
2026-06-04T18:26:47Z	100000038	2
2026-06-04T18:26:51Z	100000039	2
2026-06-04T18:26:54Z	100000040	2
2026-06-04T18:26:57Z	100000041	2
2026-06-04T18:26:59Z	100000042	2
2026-06-04T18:27:03Z	100000043	2
2026-06-04T18:27:42Z	100000044	0
2026-06-04T18:27:46Z	100000045	2
2026-06-04T18:27:50Z	100000046	2
2026-06-04T18:27:54Z	100000047	2
2026-06-04T18:28:50Z	100000048	0
2026-06-04T18:28:55Z	100000049	2
2026-06-04T18:29:00Z	100000050	2
2026-06-04T18:29:03Z	100000051	2
2026-06-04T18:29:06Z	100000052	2
2026-06-04T18:29:47Z	100000053	0
2026-06-04T18:29:50Z	100000054	2
2026-06-04T18:29:53Z	100000055	2
2026-06-04T18:29:56Z	100000056	2
2026-06-04T18:29:59Z	100000057	2
2026-06-04T18:30:03Z	100000058	2
2026-06-04T18:30:05Z	100000059	2
2026-06-04T18:30:40Z	100000060	0
2026-06-04T18:30:43Z	100000061	2
2026-06-04T18:30:47Z	100000062	2
2026-06-04T18:31:25Z	100000063	0
2026-06-04T18:31:56Z	100000064	0
2026-06-04T18:32:33Z	100000065	0
2026-06-04T18:33:14Z	100000066	0
2026-06-04T18:33:47Z	100000067	0
2026-06-04T18:33:49Z	100000068	2
2026-06-04T18:34:28Z	100000069	0
2026-06-04T18:34:31Z	100000070	2
2026-06-04T18:35:07Z	100000071	0
2026-06-04T18:35:11Z	100000072	2
2026-06-04T18:35:14Z	100000073	2
2026-06-04T18:35:17Z	100000074	2
2026-06-04T18:35:19Z	100000075	2
2026-06-04T18:36:00Z	100000076	0
2026-06-04T18:36:04Z	100000077	2
2026-06-04T18:36:39Z	100000078	0
2026-06-04T18:37:09Z	100000079	0
2026-06-04T18:37:12Z	100000080	2
2026-06-04T18:37:15Z	100000081	2
2026-06-04T18:37:18Z	100000082	2
2026-06-04T18:37:22Z	100000083	2
2026-06-04T18:38:01Z	100000084	0
2026-06-04T18:38:27Z	100000085	0
2026-06-04T18:38:30Z	100000086	2
2026-06-04T18:38:32Z	100000087	2
2026-06-04T18:38:35Z	100000088	2
2026-06-04T18:39:00Z	100000089	0
2026-06-04T18:39:03Z	100000090	2
2026-06-04T18:39:05Z	100000091	2
2026-06-04T18:39:08Z	100000092	2
2026-06-04T18:39:11Z	100000093	2
2026-06-04T18:39:38Z	100000094	0
2026-06-04T18:39:41Z	100000095	2
2026-06-04T18:39:44Z	100000096	2
2026-06-04T18:39:47Z	100000097	2
2026-06-04T18:39:50Z	100000098	2
2026-06-04T18:40:17Z	100000099	0
2026-06-04T18:40:46Z	100000100	0
2026-06-04T18:40:49Z	100000101	2
2026-06-04T18:40:52Z	100000102	2
2026-06-04T18:41:21Z	100000103	0
2026-06-04T18:41:24Z	100000104	2
2026-06-04T18:41:27Z	100000105	2
