STATUS,attack_pdr,attack_rx,attacker_id,baseline_pdr,baseline_rx,both_pdr,both_rx,defense_pdr,defense_rx,elapsed_s,run,sent_per_window
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,25.93027091026306,4,18
OK,1.0,18,5,1.0,18,0.2222,4,1.0,18,46.16464924812317,7,18
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,29.188448190689087,11,18
OK,1.0,18,7,1.0,18,1.0,18,1.0,18,32.73014998435974,17,18
OK,0.0,0,5,1.0,18,0.7222,13,1.0,18,31.81930637359619,21,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,26.59360980987549,23,18
OK,0.0,0,3,1.0,18,0.7222,13,1.0,18,30.313347339630127,25,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,28.059670209884644,27,18
OK,0.0,0,3,1.0,18,0.7222,13,1.0,18,31.50710916519165,30,18
OK,1.0,18,6,1.0,18,1.0,18,1.0,18,32.098517417907715,31,18
