STATUS,attack_pdr,attack_rx,attacker_id,baseline_pdr,baseline_rx,both_pdr,both_rx,defense_pdr,defense_rx,elapsed_s,run,sent_per_window
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,21.97026753425598,4,18
OK,1.0,18,5,1.0,18,0.7222,13,1.0,18,22.82804775238037,7,18
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,22.09069848060608,11,18
OK,1.0,18,7,1.0,18,0.3889,7,1.0,18,35.22457551956177,17,18
OK,0.0,0,5,1.0,18,0.7222,13,1.0,18,36.30453276634216,21,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,28.00744938850403,23,18
OK,0.0,0,3,1.0,18,0.2222,4,1.0,18,30.94831681251526,25,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,29.28861975669861,27,18
OK,0.0,0,3,1.0,18,0.7222,13,1.0,18,31.826732635498047,30,18
OK,1.0,18,6,1.0,18,1.0,18,1.0,18,35.535940647125244,31,18
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,30.29154109954834,32,18
OK,1.0,18,7,1.0,18,1.0,18,1.0,18,35.7999267578125,33,18
OK,1.0,18,12,1.0,18,1.0,18,1.0,18,29.300105810165405,34,18
OK,0.0,0,34,1.0,18,1.0,18,1.0,18,27.324831008911133,37,18
OK,1.0,18,5,1.0,18,0.6111,11,1.0,18,47.33511972427368,39,18
OK,1.0,18,18,1.0,18,0.9444,17,1.0,18,27.513099670410156,41,18
OK,1.0,18,15,1.0,18,1.0,18,1.0,18,29.37583637237549,42,18
OK,1.0,18,11,1.0,18,0.7222,13,1.0,18,31.729126453399658,44,18
OK,1.0,18,5,1.0,18,0.7222,13,1.0,18,33.17504000663757,46,18
OK,1.0,18,7,1.0,18,1.0,18,1.0,18,28.675707817077637,48,18
OK,1.0,18,10,1.0,18,1.0,18,1.0,18,30.84305429458618,52,18
OK,0.0,0,6,1.0,18,0.2222,4,1.0,18,33.68235969543457,53,18
OK,1.0,18,5,1.0,18,1.0,18,1.0,18,30.43409538269043,55,18
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,29.19506025314331,60,18
OK,1.0,18,4,1.0,18,1.0,18,1.0,18,29.920325994491577,63,18
OK,1.0,18,3,1.0,18,0.7222,13,1.0,18,24.810670137405396,67,18
OK,1.0,18,6,1.0,18,1.0,18,1.0,18,30.868594884872437,70,18
OK,1.0,18,6,1.0,18,0.6667,12,1.0,18,25.909059047698975,71,18
OK,1.0,18,17,1.0,18,1.0,18,1.0,18,24.128019332885742,72,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,26.77662205696106,73,18
