STATUS,attack_pdr,attack_rx,attacker_id,baseline_pdr,baseline_rx,both_pdr,both_rx,defense_pdr,defense_rx,elapsed_s,run,sent_per_window
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,25.669015407562256,4,18
OK,1.0,18,5,1.0,18,0.1667,3,1.0,18,26.0584454536438,7,18
OK,1.0,18,8,1.0,18,1.0,18,1.0,18,24.655988216400146,11,18
OK,1.0,18,7,1.0,18,0.2222,4,1.0,18,32.82370114326477,17,18
OK,0.0,0,5,1.0,18,0.7222,13,1.0,18,28.28381609916687,21,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,21.355634927749634,23,18
OK,0.0,0,3,1.0,18,0.7222,13,1.0,18,24.80398178100586,25,18
OK,1.0,18,3,1.0,18,1.0,18,1.0,18,32.05404758453369,27,18
OK,0.0,0,3,1.0,18,0.7222,13,1.0,18,26.68290948867798,30,18
OK,1.0,18,6,1.0,18,1.0,18,1.0,18,26.24943995475769,31,18
